Subject,Method,Accuracy,Precision,Recall,F1 Score,Fold
subject90329629,Sadeh,0.7641395908543923,0.6767676767676768,0.9901477832512315,0.804,3
subject90329629,Cole-Kripke,0.6859205776173285,0.6086956521739131,1.0,0.7567567567567568,3
subject90330621,Sadeh,0.8267195767195767,0.7591911764705882,1.0,0.8631138975966561,3
subject90330621,Cole-Kripke,0.708994708994709,0.6524486571879937,1.0,0.7896749521988528,3
subject90331117,Sadeh,0.7324444444444445,0.56752655538695,0.958974358974359,0.7130600571973309,3
subject90331117,Cole-Kripke,0.5973333333333334,0.4620938628158845,0.9846153846153847,0.6289926289926291,3
subject90331319,Sadeh,0.6510510510510511,0.5279399499582986,0.9768518518518519,0.6854358419057932,3
subject90331319,Cole-Kripke,0.5735735735735735,0.4770710059171598,0.9953703703703703,0.645,3
subject90332219,Sadeh,0.835985312117503,0.8365217391304348,0.9232245681381958,0.8777372262773723,3
subject90332219,Cole-Kripke,0.7772337821297429,0.7595712098009189,0.9520153550863724,0.8449744463373084,3
subject90344323,Sadeh,0.609100310237849,0.5072847682119205,0.9845758354755784,0.6695804195804196,3
subject90344323,Cole-Kripke,0.5336091003102379,0.46291866028708134,0.9948586118251928,0.6318367346938775,3
subject90345122,Sadeh,0.7327327327327328,0.5639958376690947,0.954225352112676,0.7089601046435579,3
subject90345122,Cole-Kripke,0.6198198198198198,0.472055030094583,0.9665492957746479,0.634315424610052,3
subject90346426,Sadeh,0.6694995278564684,0.5807692307692308,0.9516806722689075,0.7213375796178345,3
subject90346426,Cole-Kripke,0.5892351274787535,0.5234285714285715,0.9621848739495799,0.6780162842339008,3
subject90346729,Sadeh,0.6994152046783626,0.706959706959707,0.7991718426501035,0.7502429543245871,3
subject90346729,Cole-Kripke,0.6865497076023391,0.6560232220609579,0.9358178053830227,0.7713310580204779,3
subject90348024,Sadeh,0.8972602739726028,0.8340248962655602,0.9757281553398058,0.8993288590604027,3
subject90348024,Cole-Kripke,0.860730593607306,0.7735849056603774,0.9951456310679612,0.8704883227176221,3
subject90356124,Sadeh,0.7022613065326633,0.6208,1.0,0.7660414610069102,3
subject90356124,Cole-Kripke,0.6394472361809045,0.5748148148148148,1.0,0.7300094073377235,3
subject90357327,Sadeh,0.7427772600186393,0.7173366834170855,0.9180064308681672,0.8053596614950636,3
subject90357327,Cole-Kripke,0.7204100652376515,0.6804932735426009,0.9758842443729904,0.8018494055482167,3
subject90359733,Sadeh,0.7185461323392358,0.6011004126547456,0.9732739420935412,0.7431972789115645,3
subject90359733,Cole-Kripke,0.6756756756756757,0.5640050697084917,0.9910913140311804,0.7189014539579967,3
subject90363324,Sadeh,0.769712140175219,0.696113074204947,0.9704433497536946,0.8106995884773662,3
subject90363324,Cole-Kripke,0.6996245306633292,0.6309148264984227,0.9852216748768473,0.7692307692307692,3
subject90363829,Sadeh,0.8326848249027238,0.7915254237288135,0.9873150105708245,0.8786453433678268,3
subject90363829,Cole-Kripke,0.7315175097276264,0.696165191740413,0.9978858350951374,0.8201563857515205,3
subject90364224,Sadeh,0.8772563176895307,0.7216494845360825,0.9702970297029703,0.8277027027027026,3
subject90364224,Cole-Kripke,0.7858002406738869,0.5883748517200474,0.9821782178217822,0.7359050445103859,3
subject90365124,Sadeh,0.5941278065630398,0.4238329238329238,0.9971098265895953,0.5948275862068966,3
subject90365124,Cole-Kripke,0.5284974093264249,0.38764044943820225,0.9971098265895953,0.558252427184466,3
subject90367934,Sadeh,0.6375586854460094,0.5607142857142857,0.9651639344262295,0.7093373493975904,3
subject90367934,Cole-Kripke,0.5408450704225352,0.4994797086368366,0.9836065573770492,0.6625258799171843,3
subject90370322,Sadeh,0.6413110698824984,0.41243523316062175,0.9683698296836983,0.5784883720930233,3
subject90370322,Cole-Kripke,0.5510204081632653,0.36,0.9854014598540146,0.5273437499999999,3
subject90371727,Sadeh,0.7906360424028268,0.6686131386861314,0.9786324786324786,0.7944492627927147,4
subject90371727,Cole-Kripke,0.726148409893993,0.6036745406824147,0.9829059829059829,0.7479674796747966,4
subject90373931,Sadeh,0.7146562905317769,0.6671875,0.9838709677419355,0.7951582867783985,4
subject90373931,Cole-Kripke,0.7042801556420234,0.6579754601226994,0.988479262672811,0.7900552486187845,4
subject90374831,Sadeh,0.8957771787960467,0.7638603696098563,0.9973190348525469,0.8651162790697675,4
subject90374831,Cole-Kripke,0.7825696316262354,0.6068515497553018,0.9973190348525469,0.7545638945233265,4
subject90380121,Sadeh,0.6396396396396397,0.4509232264334305,0.9298597194388778,0.6073298429319371,4
subject90380121,Cole-Kripke,0.5501501501501501,0.397708674304419,0.9739478957915831,0.5647879140034864,4
subject90381930,Sadeh,0.7386503067484662,0.6365248226950354,0.9782016348773842,0.7712137486573576,4
subject90381930,Cole-Kripke,0.5717791411042945,0.5126050420168067,0.997275204359673,0.6771507863089732,4
subject90385732,Sadeh,0.8123138033763655,0.7478386167146974,0.9737335834896811,0.8459657701711492,4
subject90385732,Cole-Kripke,0.7835153922542205,0.7137042062415196,0.9868667917448405,0.8283464566929134,4
subject90387027,Sadeh,0.7803643724696356,0.6689774696707106,0.9368932038834952,0.7805864509605662,4
subject90387027,Cole-Kripke,0.680161943319838,0.5676056338028169,0.9781553398058253,0.7183600713012478,4
subject90389837,Sadeh,0.6918918918918919,0.5115346038114343,0.9514925373134329,0.665362035225049,4
subject90389837,Cole-Kripke,0.6174174174174174,0.4558951965065502,0.9738805970149254,0.6210588935157645,4
subject90391224,Sadeh,0.876555023923445,0.75,0.9698630136986301,0.845878136200717,4
subject90391224,Cole-Kripke,0.7598086124401914,0.5943708609271523,0.9835616438356164,0.7409700722394221,4
subject90392124,Sadeh,0.7753753753753754,0.5416149068322982,0.9886621315192744,0.6998394863563404,4
subject90392124,Cole-Kripke,0.63003003003003,0.4167459562321599,0.9931972789115646,0.5871313672922253,4
subject90396330,Sadeh,0.8986568986568987,0.8253968253968254,0.9837837837837838,0.8976572133168927,4
subject90396330,Cole-Kripke,0.8473748473748474,0.7484787018255578,0.9972972972972973,0.8551564310544612,4
subject90398029,Sadeh,0.8519888991674376,0.8272859216255443,0.9328968903436988,0.8769230769230769,4
subject90398029,Cole-Kripke,0.7742830712303422,0.7279503105590062,0.9590834697217676,0.827683615819209,4
subject90398534,Sadeh,0.7344222625529341,0.5766871165644172,0.9575551782682513,0.7198468410976389,4
subject90398534,Cole-Kripke,0.5898366606170599,0.4642570281124498,0.9813242784380306,0.6303162486368593,4
subject90403622,Sadeh,0.97125,0.9495412844036697,0.9975903614457832,0.972972972972973,4
subject90403622,Cole-Kripke,0.85875,0.7870722433460076,0.9975903614457832,0.8799149840595111,4
subject90405523,Sadeh,0.8061325420375866,0.7636612021857924,0.9604810996563574,0.8508371385083715,4
subject90405523,Cole-Kripke,0.6983184965380811,0.6582857142857143,0.9896907216494846,0.790665751544269,4
subject90406019,Sadeh,0.6872509960159362,0.618925831202046,0.968,0.7550702028081123,4
subject90406019,Cole-Kripke,0.6334661354581673,0.5776470588235294,0.982,0.7274074074074074,4
subject90409325,Sadeh,0.7645645645645646,0.57847533632287,0.9699248120300752,0.7247191011235956,4
subject90409325,Cole-Kripke,0.6444444444444445,0.4724264705882353,0.9661654135338346,0.6345679012345679,4
subject90411217,Sadeh,0.6968911917098446,0.5334821428571429,0.9053030303030303,0.6713483146067416,4
subject90411217,Cole-Kripke,0.5893782383419689,0.45309734513274336,0.9696969696969697,0.6176115802171291,4
subject90413926,Sadeh,0.8391248391248392,0.7605633802816901,0.984375,0.8581157775255392,4
subject90413926,Cole-Kripke,0.749034749034749,0.6649214659685864,0.9921875,0.7962382445141065,4
subject90414422,Sadeh,0.8245192307692307,0.6261808367071525,0.9686847599164927,0.7606557377049181,4
subject90414422,Cole-Kripke,0.7217548076923077,0.5085287846481876,0.9958246346555324,0.6732533521524348,4
subject90416525,Sadeh,0.7435424354243543,0.6346153846153846,0.9746835443037974,0.7687188019966722,4
subject90416525,Cole-Kripke,0.6669741697416974,0.5683192261185006,0.9915611814345991,0.722521137586472,4
subject90419225,Sadeh,0.843710292249047,0.7996289424860853,0.9663677130044843,0.8751269035532995,4
subject90419225,Cole-Kripke,0.770012706480305,0.7154471544715447,0.9865470852017937,0.829406220546654,4
subject90419326,Sadeh,0.8013318534961155,0.7514619883040936,0.982791586998088,0.8516984258492128,4
subject90419326,Cole-Kripke,0.7513873473917869,0.7006711409395974,0.9980879541108987,0.8233438485804416,4
subject90420419,Sadeh,0.7796143250688705,0.6980132450331126,0.9777365491651205,0.8145285935085008,4
subject90420419,Cole-Kripke,0.7300275482093664,0.6514215080346106,0.9777365491651205,0.7818991097922849,4
subject90420520,Sadeh,0.7461988304093568,0.691970802919708,0.9875,0.8137339055793992,4
subject90420520,Cole-Kripke,0.6467836257309941,0.6146907216494846,0.99375,0.7595541401273886,4
subject90423826,Sadeh,0.7495009980039921,0.6873417721518987,0.9926873857404022,0.8122662677636501,4
subject90423826,Cole-Kripke,0.6516966067864272,0.610738255033557,0.9981718464351006,0.7578070784177654,4
subject90424625,Sadeh,0.7116071428571429,0.6007556675062973,0.9875776397515528,0.7470634299138607,4
subject90424625,Cole-Kripke,0.5866071428571429,0.5106157112526539,0.9958592132505176,0.6750877192982456,4
subject90426021,Sadeh,0.7971188475390156,0.71875,0.9833729216152018,0.8304914744232698,4
subject90426021,Cole-Kripke,0.6638655462184874,0.6008583690987125,0.997624703087886,0.7500000000000001,4
subject90428528,Sadeh,0.8597883597883598,0.6788008565310493,0.9723926380368099,0.7994955863808323,4
