Combination,Fold,Epoch,Train Loss,Validation Loss,Hidden Dimension,Number of Layers,Initial Learning Rate,Model
1,6,2,0.5652474537491798,0.45427210933782836,1,1,0.7,MLP
1,6,3,0.5630632698535919,0.4412065314298326,1,1,0.7,MLP
1,7,0,0.6816580090671778,0.6790039756081321,1,1,0.7,MLP
1,7,1,0.5894926384091377,0.4634915773164142,1,1,0.7,MLP
1,8,0,0.7636858350597322,0.7760494764555584,1,1,0.7,MLP
1,8,1,0.5864187255501747,0.4537538882683624,1,1,0.7,MLP
1,9,0,0.6959490520879626,0.688769166442481,1,1,0.7,MLP
1,9,1,0.5962936237454415,0.4813233248212121,1,1,0.7,MLP
1,9,2,0.5738434731960297,0.4618561565876007,1,1,0.7,MLP
2,0,0,0.7365649538114667,0.7374668031930923,1,1,0.7,RNN
2,0,1,0.5344087801873684,0.37104417495429515,1,1,0.7,RNN
2,0,2,0.3500833362340927,0.35772613920271396,1,1,0.7,RNN
2,0,3,0.34237158596515654,0.3541963893920183,1,1,0.7,RNN
2,0,4,0.3407449286431074,0.35310917627066374,1,1,0.7,RNN
2,0,5,0.33772189132869246,0.3496694850735366,1,1,0.7,RNN
2,0,6,0.33496425338089464,0.3457097171805799,1,1,0.7,RNN
2,0,7,0.3308506511151791,0.34463837230578065,1,1,0.7,RNN
2,0,8,0.32963022254407404,0.34197932137176396,1,1,0.7,RNN
2,0,9,0.3268715780228376,0.3371182550676167,1,1,0.7,RNN
2,0,10,0.32434341982007026,0.3346075274981558,1,1,0.7,RNN
2,0,11,0.3225129656493664,0.3292087286710739,1,1,0.7,RNN
2,1,0,0.7362969062291086,0.7588531091809273,1,1,0.7,RNN
2,1,1,0.42700112983584404,0.34663561936467885,1,1,0.7,RNN
2,1,2,0.3334471132606268,0.3395164033398032,1,1,0.7,RNN
2,1,3,0.3299912817776203,0.3367718364112079,1,1,0.7,RNN
2,1,4,0.3258854255080223,0.3308296174742281,1,1,0.7,RNN
2,1,5,0.32340323068201543,0.32899039452895523,1,1,0.7,RNN
2,2,0,0.7066718444228173,0.7017900750041008,1,1,0.7,RNN
2,2,1,0.417692594230175,0.3260311534628272,1,1,0.7,RNN
2,2,2,0.3589759670197964,0.3093333289027214,1,1,0.7,RNN
2,3,0,1.062816777639091,1.0663242653012275,1,1,0.7,RNN
2,3,1,0.5678246401250362,0.3711548523977399,1,1,0.7,RNN
2,3,2,0.3570997558534145,0.3563511809334159,1,1,0.7,RNN
2,3,3,0.34927901700139047,0.35191830061376095,1,1,0.7,RNN
2,3,4,0.34597420021891595,0.34973730649799106,1,1,0.7,RNN
2,3,5,0.34307222031056883,0.34877401795238255,1,1,0.7,RNN
2,3,6,0.34112597852945326,0.34609378296881915,1,1,0.7,RNN
2,3,7,0.33893354460597036,0.34279933087527753,1,1,0.7,RNN
2,3,8,0.33715884760022163,0.3409578684717417,1,1,0.7,RNN
2,4,0,0.8535946577787399,0.8756404004991054,1,1,0.7,RNN
2,4,1,0.4861582241952419,0.38092857953161,1,1,0.7,RNN
2,4,2,0.3423602346330881,0.3741529412567616,1,1,0.7,RNN
2,5,0,0.7796432869508862,0.7778155302459543,1,1,0.7,RNN
2,5,1,0.48005453050136565,0.3610040924765847,1,1,0.7,RNN
2,5,2,0.3490635629743338,0.35181100700389256,1,1,0.7,RNN
2,5,3,0.344082897156477,0.34863562577150087,1,1,0.7,RNN
